Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
"Credibility Check","Forgotten Trails > American Fork Canyon > Southern Wasatch > Wasatch Range > Utah",https://www.mountainproject.com/route/107692201/credibility-check,2.2,-1,Sport,5.12a,1,70,40.4451,-111.6911
"Long Shadows","Forgotten Trails > American Fork Canyon > Southern Wasatch > Wasatch Range > Utah",https://www.mountainproject.com/route/106059734/long-shadows,2.7,-1,Sport,5.12a,1,55,40.4451,-111.6911
"Trash Kicker Var.","Forgotten Trails > American Fork Canyon > Southern Wasatch > Wasatch Range > Utah",https://www.mountainproject.com/route/112067287/trash-kicker-var,3.3,-1,Sport,5.12a,1,75,40.4451,-111.6911
Mindbleeder,"Forgotten Trails > American Fork Canyon > Southern Wasatch > Wasatch Range > Utah",https://www.mountainproject.com/route/119710137/mindbleeder,3.0,-1,Sport,5.12a,1,60,40.4451,-111.6911
Gemini,"Visionary Wall > Tank Canyon > American Fork Canyon > Southern Wasatch > Wasatch Range > Utah",https://www.mountainproject.com/route/106496005/gemini,2.8,-1,Sport,5.11c/d,1,40,40.4469,-111.6881
"Drop the Clutch","Visionary Wall > Tank Canyon > American Fork Canyon > Southern Wasatch > Wasatch Range > Utah",https://www.mountainproject.com/route/106502139/drop-the-clutch,3.4,-1,Sport,5.11d,1,85,40.4469,-111.6881
Inky,"Visionary Wall > Tank Canyon > American Fork Canyon > Southern Wasatch > Wasatch Range > Utah",https://www.mountainproject.com/route/106811647/inky,2.5,-1,Sport,5.12a,1,40,40.4469,-111.6881
Boo,"Old School Rock > Tank Canyon > American Fork Canyon > Southern Wasatch > Wasatch Range > Utah",https://www.mountainproject.com/route/106811783/boo,3.0,-1,Sport,5.11c,1,60,40.4469,-111.6881
"Bang Bang","Old School Rock > Tank Canyon > American Fork Canyon > Southern Wasatch > Wasatch Range > Utah",https://www.mountainproject.com/route/106541111/bang-bang,2.8,-1,Sport,5.11c,1,90,40.4469,-111.6881
"Diamond Dogs","Old School Rock > Tank Canyon > American Fork Canyon > Southern Wasatch > Wasatch Range > Utah",https://www.mountainproject.com/route/106834165/diamond-dogs,4.0,-1,Sport,5.11d,1,115,40.4469,-111.6881
"White Dream","Sleepy Cove > Tank Canyon > American Fork Canyon > Southern Wasatch > Wasatch Range > Utah",https://www.mountainproject.com/route/117329117/white-dream,3.2,-1,Sport,5.12a,1,40,40.45087,-111.6875
"Cosmic Imperative","Bingo Baby > American Fork Canyon > Southern Wasatch > Wasatch Range > Utah",https://www.mountainproject.com/route/106906159/cosmic-imperative,2.9,-1,Sport,5.11c,1,50,40.4461,-111.6859
Foreplay,"Bingo Baby > American Fork Canyon > Southern Wasatch > Wasatch Range > Utah",https://www.mountainproject.com/route/106517457/foreplay,2.0,-1,Sport,5.11c,1,45,40.4461,-111.6859
Protozoa,"Bingo Baby > American Fork Canyon > Southern Wasatch > Wasatch Range > Utah",https://www.mountainproject.com/route/106517576/protozoa,2.1,-1,Sport,5.11c,1,70,40.4461,-111.6859
"Three Easy Pieces","Bingo Baby > American Fork Canyon > Southern Wasatch > Wasatch Range > Utah",https://www.mountainproject.com/route/106517441/three-easy-pieces,1.9,-1,Sport,5.11d,1,45,40.4461,-111.6859
"The Beckoning Call","Bingo Baby > American Fork Canyon > Southern Wasatch > Wasatch Range > Utah",https://www.mountainproject.com/route/106517461/the-beckoning-call,2.6,-1,Sport,5.12a,1,45,40.4461,-111.6859
"Gordon's Linkup","Bingo Baby > American Fork Canyon > Southern Wasatch > Wasatch Range > Utah",https://www.mountainproject.com/route/106517491/gordons-linkup,3.4,-1,Sport,5.12a,1,65,40.4461,-111.6859
"Bringer of Light","Bingo Baby > American Fork Canyon > Southern Wasatch > Wasatch Range > Utah",https://www.mountainproject.com/route/106517496/bringer-of-light,3.2,-1,Sport,5.12a,1,65,40.4461,-111.6859
"Under the Knife","The Blue Walls > American Fork Canyon > Southern Wasatch > Wasatch Range > Utah",https://www.mountainproject.com/route/106957951/under-the-knife,3.5,-1,Sport,5.11d,1,60,40.44338,-111.69085
"Stemming the Tide","The Blue Walls > American Fork Canyon > Southern Wasatch > Wasatch Range > Utah",https://www.mountainproject.com/route/123254446/stemming-the-tide,3.3,-1,Sport,5.11d,1,50,40.44338,-111.69085
"Diminished Capacity","The Blue Walls > American Fork Canyon > Southern Wasatch > Wasatch Range > Utah",https://www.mountainproject.com/route/106951086/diminished-capacity,3.0,-1,Sport,5.12a,1,60,40.44338,-111.69085
Slimabeing,"The Grey Cliffs > Grey Cliffs Picnic Area > American Fork Canyon > Southern Wasatch > Wasatch Range > Utah",https://www.mountainproject.com/route/110512138/slimabeing,2.1,-1,Sport,5.11c,1,,40.45081,-111.67172
