Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
"Boatload of Envy","2nd Arch Wall > Box Canyon > Maple Canyon Road > Maple Canyon > Central Utah > Utah",https://www.mountainproject.com/route/111326829/boatload-of-envy,2.0,-1,Sport,5.13b,1,,39.55638,-111.67574
"Eat Your Liver","Low Standard Cave > Maple Canyon Road > Maple Canyon > Central Utah > Utah",https://www.mountainproject.com/route/108252330/eat-your-liver,2.7,-1,Sport,5.12b,1,50,39.55839,-111.68761
"Welcome to Fitness","Low Standard Cave > Maple Canyon Road > Maple Canyon > Central Utah > Utah",https://www.mountainproject.com/route/107874728/welcome-to-fitness,3.5,-1,Sport,5.13a,1,45,39.55839,-111.68761
"Beyond Fitness","Low Standard Cave > Maple Canyon Road > Maple Canyon > Central Utah > Utah",https://www.mountainproject.com/route/110607113/beyond-fitness,2.0,-1,Sport,5.13a,1,50,39.55839,-111.68761
"Have a V8","Low Standard Cave > Maple Canyon Road > Maple Canyon > Central Utah > Utah",https://www.mountainproject.com/route/109015170/have-a-v8,3.3,-1,Sport,5.13b,1,30,39.55839,-111.68761
"Never Go Left","Windshield Wiper Wall > Maple Canyon Road > Maple Canyon > Central Utah > Utah",https://www.mountainproject.com/route/108246095/never-go-left,2.8,-1,Sport,5.12a/b,1,,39.55516,-111.67382
"Nuclear Sponge","Windshield Wiper Wall > Maple Canyon Road > Maple Canyon > Central Utah > Utah",https://www.mountainproject.com/route/107660262/nuclear-sponge,3.2,-1,Sport,5.12b,1,80,39.55516,-111.67382
"Beaten into Submission aka King Line","Windshield Wiper Wall > Maple Canyon Road > Maple Canyon > Central Utah > Utah",https://www.mountainproject.com/route/107789030/beaten-into-submission-aka-king-line,3.7,-1,Sport,5.12b,1,90,39.55516,-111.67382
"Never Go Right","Windshield Wiper Wall > Maple Canyon Road > Maple Canyon > Central Utah > Utah",https://www.mountainproject.com/route/108241875/never-go-right,3.2,-1,Sport,5.12b,1,90,39.55516,-111.67382
"DOO (difference of opinion)","Windshield Wiper Wall > Maple Canyon Road > Maple Canyon > Central Utah > Utah",https://www.mountainproject.com/route/111968727/doo-difference-of-opinion,3.5,-1,Sport,5.12b,1,90,39.55516,-111.67382
Jackknifed,"Windshield Wiper Wall > Maple Canyon Road > Maple Canyon > Central Utah > Utah",https://www.mountainproject.com/route/108246073/jackknifed,3.4,-1,Sport,5.12c,1,,39.55516,-111.67382
"Butt Crack","The Compound > Maple Canyon Road > Maple Canyon > Central Utah > Utah",https://www.mountainproject.com/route/110744097/butt-crack,1.0,-1,Sport,5.12a/b,1,,39.56843,-111.688
"GI Joe Kung Fu Grip","The Compound > Maple Canyon Road > Maple Canyon > Central Utah > Utah",https://www.mountainproject.com/route/109310373/gi-joe-kung-fu-grip,2.9,-1,Sport,5.12b,1,70,39.56843,-111.688
"Gun Tower","The Compound > Maple Canyon Road > Maple Canyon > Central Utah > Utah",https://www.mountainproject.com/route/107699328/gun-tower,3.8,-1,Sport,5.12c,1,70,39.56843,-111.688
3-2-1,"The Compound > Maple Canyon Road > Maple Canyon > Central Utah > Utah",https://www.mountainproject.com/route/107694110/3-2-1,3.4,-1,Sport,5.13a,1,70,39.56843,-111.688
911,"The Compound > Maple Canyon Road > Maple Canyon > Central Utah > Utah",https://www.mountainproject.com/route/107752372/911,3.8,-1,Sport,5.13a,1,80,39.56843,-111.688
"Silent but Deadly","The Compound > Maple Canyon Road > Maple Canyon > Central Utah > Utah",https://www.mountainproject.com/route/110744111/silent-but-deadly,2.3,-1,Sport,5.13a,1,,39.56843,-111.688
Gitmo,"The Compound > Maple Canyon Road > Maple Canyon > Central Utah > Utah",https://www.mountainproject.com/route/110648966/gitmo,3.0,-1,Sport,5.13a/b,1,80,39.56843,-111.688
Bollocks,"The Compound > Maple Canyon Road > Maple Canyon > Central Utah > Utah",https://www.mountainproject.com/route/110554697/bollocks,3.0,-1,Sport,5.13b,1,60,39.56843,-111.688
"Vote with a Bullet","The Compound > Maple Canyon Road > Maple Canyon > Central Utah > Utah",https://www.mountainproject.com/route/110622240/vote-with-a-bullet,3.4,-1,Sport,5.13b,1,55,39.56843,-111.688
Cracker,"The Compound > Maple Canyon Road > Maple Canyon > Central Utah > Utah",https://www.mountainproject.com/route/110744200/cracker,3.3,-1,Sport,5.13b,1,,39.56843,-111.688
"Special Forces","The Compound > Maple Canyon Road > Maple Canyon > Central Utah > Utah",https://www.mountainproject.com/route/107694007/special-forces,3.5,-1,Sport,5.13b,1,60,39.56843,-111.688
"Neptune's Spear","The Compound > Maple Canyon Road > Maple Canyon > Central Utah > Utah",https://www.mountainproject.com/route/107694037/neptunes-spear,3.6,-1,Sport,5.13b,1,60,39.56843,-111.688
"Gorilla Warfare","The Compound > Maple Canyon Road > Maple Canyon > Central Utah > Utah",https://www.mountainproject.com/route/108092005/gorilla-warfare,2.8,-1,Sport,5.13b,1,,39.56843,-111.688
"Death From Above","The Compound > Maple Canyon Road > Maple Canyon > Central Utah > Utah",https://www.mountainproject.com/route/108947433/death-from-above,3.8,-1,Sport,5.13b,1,80,39.56843,-111.688
"Chicks for Free","Free Wall > Maple Canyon Road > Maple Canyon > Central Utah > Utah",https://www.mountainproject.com/route/119125673/chicks-for-free,3.3,-1,Sport,5.12c,1,40,39.5578,-111.68722
"Chia Pet","The Pipeline > Left Fork > Maple Canyon > Central Utah > Utah",https://www.mountainproject.com/route/106059110/chia-pet,2.9,-1,Sport,5.12b,1,40,39.5555,-111.687
"Sliding Down A Million Years","The Pipeline > Left Fork > Maple Canyon > Central Utah > Utah",https://www.mountainproject.com/route/106512420/sliding-down-a-million-years,2.9,-1,Sport,5.12b,1,40,39.5555,-111.687
